accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR11657960	SRP259389	new	PRJNA629592	SAMN14783818	050213M_7	050213M_7	16S amplicons from concrete sample  050213M_7: ASR unreactive and weathered for 0 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			050213M_7_S6_L001_R1_001.fastq.gz	050213M_7_S6_L001_R2_001.fastq.gz						
SRR11657959	SRP259389	new	PRJNA629592	SAMN14783819	050213U_1	050213U_1	16S amplicons from concrete sample  050213U_1: ASR reactive and weathered for 0 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			050213U_1_S3_L001_R1_001.fastq.gz	050213U_1_S3_L001_R2_001.fastq.gz						
SRR11657958	SRP259389	new	PRJNA629592	SAMN14783820	050213U_10	050213U_10	16S amplicons from concrete sample  050213U_10: ASR reactive and weathered for 0 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			050213U_10_S1_L001_R1_001.fastq.gz	050213U_10_S1_L001_R2_001.fastq.gz						
SRR11657957	SRP259389	new	PRJNA629592	SAMN14783821	050213U_12	050213U_12	16S amplicons from concrete sample  050213U_12: ASR reactive and weathered for 0 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			050213U_12_S2_L001_R1_001.fastq.gz	050213U_12_S2_L001_R2_001.fastq.gz						
SRR11657955	SRP259389	new	PRJNA629592	SAMN14783822	052014M_2	052014M_2	16S amplicons from concrete sample  052014M_2: ASR unreactive and weathered for 12 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			052014M_2_S46_L001_R1_001.fastq.gz	052014M_2_S46_L001_R2_001.fastq.gz						
SRR11657954	SRP259389	new	PRJNA629592	SAMN14783823	052014M_3	052014M_3	16S amplicons from concrete sample  052014M_3: ASR unreactive and weathered for 12 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			052014M_3_S47_L001_R1_001.fastq.gz	052014M_3_S47_L001_R2_001.fastq.gz						
SRR11657953	SRP259389	new	PRJNA629592	SAMN14783824	052014M_4	052014M_4	16S amplicons from concrete sample  052014M_4: ASR unreactive and weathered for 12 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			052014M_4_S48_L001_R1_001.fastq.gz	052014M_4_S48_L001_R2_001.fastq.gz						
SRR11657952	SRP259389	new	PRJNA629592	SAMN14783825	052014U_14	052014U_14	16S amplicons from concrete sample  052014U_14: ASR reactive and weathered for 12 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			052014U_14_S43_L001_R1_001.fastq.gz	052014U_14_S43_L001_R2_001.fastq.gz						
SRR11657951	SRP259389	new	PRJNA629592	SAMN14783826	052014U_15	052014U_15	16S amplicons from concrete sample  052014U_15: ASR reactive and weathered for 12 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			052014U_15_S44_L001_R1_001.fastq.gz	052014U_15_S44_L001_R2_001.fastq.gz						
SRR11657950	SRP259389	new	PRJNA629592	SAMN14783827	052014U_4	052014U_4	16S amplicons from concrete sample  052014U_4: ASR reactive and weathered for 12 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			052014U_4_S45_L001_R1_001.fastq.gz	052014U_4_S45_L001_R2_001.fastq.gz						
SRR11657949	SRP259389	new	PRJNA629592	SAMN14783828	061914M_1	061914M_1	16S amplicons from concrete sample  061914M_1: ASR unreactive and weathered for 13 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			061914M_1_S52_L001_R1_001.fastq.gz	061914M_1_S52_L001_R2_001.fastq.gz						
SRR11657948	SRP259389	new	PRJNA629592	SAMN14783829	061914M_2	061914M_2	16S amplicons from concrete sample  061914M_2: ASR unreactive and weathered for 13 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			061914M_2_S53_L001_R1_001.fastq.gz	061914M_2_S53_L001_R2_001.fastq.gz						
SRR11657947	SRP259389	new	PRJNA629592	SAMN14783830	061914M_3	061914M_3	16S amplicons from concrete sample  061914M_3: ASR unreactive and weathered for 13 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			061914M_3_S54_L001_R1_001.fastq.gz	061914M_3_S54_L001_R2_001.fastq.gz						
SRR11657946	SRP259389	new	PRJNA629592	SAMN14783831	061914U_1	061914U_1	16S amplicons from concrete sample  061914U_1: ASR reactive and weathered for 13 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			061914U_1_S49_L001_R1_001.fastq.gz	061914U_1_S49_L001_R2_001.fastq.gz						
SRR11657944	SRP259389	new	PRJNA629592	SAMN14783832	061914U_8	061914U_8	16S amplicons from concrete sample  061914U_8: ASR reactive and weathered for 13 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			061914U_8_S50_L001_R1_001.fastq.gz	061914U_8_S50_L001_R2_001.fastq.gz						
SRR11657943	SRP259389	new	PRJNA629592	SAMN14783833	061914U_9	061914U_9	16S amplicons from concrete sample  061914U_9: ASR reactive and weathered for 13 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			061914U_9_S51_L001_R1_001.fastq.gz	061914U_9_S51_L001_R2_001.fastq.gz						
SRR11657942	SRP259389	new	PRJNA629592	SAMN14783834	071513M_1	071513M_1	16S amplicons from concrete sample  071513M_1: ASR unreactive and weathered for 2 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071513M_1_S12_L001_R1_001.fastq.gz	071513M_1_S12_L001_R2_001.fastq.gz						
SRR11657941	SRP259389	new	PRJNA629592	SAMN14783835	071513M_7	071513M_7	16S amplicons from concrete sample  071513M_7: ASR unreactive and weathered for 2 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071513M_7_S10_L001_R1_001.fastq.gz	071513M_7_S10_L001_R2_001.fastq.gz						
SRR11657940	SRP259389	new	PRJNA629592	SAMN14783836	071513M_9	071513M_9	16S amplicons from concrete sample  071513M_9: ASR unreactive and weathered for 2 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071513M_9_S11_L001_R1_001.fastq.gz	071513M_9_S11_L001_R2_001.fastq.gz						
SRR11657939	SRP259389	new	PRJNA629592	SAMN14783837	071513U_1	071513U_1	16S amplicons from concrete sample  071513U_1: ASR reactive and weathered for 2 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071513U_1_S9_L001_R1_001.fastq.gz	071513U_1_S9_L001_R2_001.fastq.gz						
SRR11657938	SRP259389	new	PRJNA629592	SAMN14783838	071513U_7	071513U_7	16S amplicons from concrete sample  071513U_7: ASR reactive and weathered for 2 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071513U_7_S7_L001_R1_001.fastq.gz	071513U_7_S7_L001_R2_001.fastq.gz						
SRR11657937	SRP259389	new	PRJNA629592	SAMN14783839	071513U_8	071513U_8	16S amplicons from concrete sample  071513U_8: ASR reactive and weathered for 2 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071513U_8_S8_L001_R1_001.fastq.gz	071513U_8_S8_L001_R2_001.fastq.gz						
SRR11657936	SRP259389	new	PRJNA629592	SAMN14783840	071514M_17	071514M_17	16S amplicons from concrete sample  071514M_17: ASR unreactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514M_17_S58_L001_R1_001.fastq.gz	071514M_17_S58_L001_R2_001.fastq.gz						
SRR11657935	SRP259389	new	PRJNA629592	SAMN14783841	071514M_18	071514M_18	16S amplicons from concrete sample  071514M_18: ASR unreactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514M_18_S59_L001_R1_001.fastq.gz	071514M_18_S59_L001_R2_001.fastq.gz						
SRR11657933	SRP259389	new	PRJNA629592	SAMN14783842	071514M_5	071514M_5	16S amplicons from concrete sample  071514M_5: ASR unreactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514M_5_S60_L001_R1_001.fastq.gz	071514M_5_S60_L001_R2_001.fastq.gz						
SRR11657932	SRP259389	new	PRJNA629592	SAMN14783843	071514U_10	071514U_10	16S amplicons from concrete sample  071514U_10: ASR reactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514U_10_S55_L001_R1_001.fastq.gz	071514U_10_S55_L001_R2_001.fastq.gz						
SRR11657931	SRP259389	new	PRJNA629592	SAMN14783844	071514U_11	071514U_11	16S amplicons from concrete sample  071514U_11: ASR reactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514U_11_S56_L001_R1_001.fastq.gz	071514U_11_S56_L001_R2_001.fastq.gz						
SRR11657930	SRP259389	new	PRJNA629592	SAMN14783845	071514U_12	071514U_12	16S amplicons from concrete sample  071514U_12: ASR reactive and weathered for 14 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			071514U_12_S57_L001_R1_001.fastq.gz	071514U_12_S57_L001_R2_001.fastq.gz						
SRR11657929	SRP259389	new	PRJNA629592	SAMN14783846	081714M_2	081714M_2	16S amplicons from concrete sample  081714M_2: ASR unreactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714M_2_S64_L001_R1_001.fastq.gz	081714M_2_S64_L001_R2_001.fastq.gz						
SRR11657928	SRP259389	new	PRJNA629592	SAMN14783847	081714M_7	081714M_7	16S amplicons from concrete sample  081714M_7: ASR unreactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714M_7_S65_L001_R1_001.fastq.gz	081714M_7_S65_L001_R2_001.fastq.gz						
SRR11657927	SRP259389	new	PRJNA629592	SAMN14783848	081714M_8	081714M_8	16S amplicons from concrete sample  081714M_8: ASR unreactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714M_8_S66_L001_R1_001.fastq.gz	081714M_8_S66_L001_R2_001.fastq.gz						
SRR11657926	SRP259389	new	PRJNA629592	SAMN14783849	081714U_1	081714U_1	16S amplicons from concrete sample  081714U_1: ASR reactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714U_1_S61_L001_R1_001.fastq.gz	081714U_1_S61_L001_R2_001.fastq.gz						
SRR11657925	SRP259389	new	PRJNA629592	SAMN14783850	081714U_5	081714U_5	16S amplicons from concrete sample  081714U_5: ASR reactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714U_5_S62_L001_R1_001.fastq.gz	081714U_5_S62_L001_R2_001.fastq.gz						
SRR11657924	SRP259389	new	PRJNA629592	SAMN14783851	081714U_6	081714U_6	16S amplicons from concrete sample  081714U_6: ASR reactive and weathered for 15 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			081714U_6_S63_L001_R1_001.fastq.gz	081714U_6_S63_L001_R2_001.fastq.gz						
SRR11657922	SRP259389	new	PRJNA629592	SAMN14783852	090413M_1	090413M_1	16S amplicons from concrete sample  090413M_1: ASR unreactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413M_1_S16_L001_R1_001.fastq.gz	090413M_1_S16_L001_R2_001.fastq.gz						
SRR11657921	SRP259389	new	PRJNA629592	SAMN14783853	090413M_2	090413M_2	16S amplicons from concrete sample  090413M_2: ASR unreactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413M_2_S17_L001_R1_001.fastq.gz	090413M_2_S17_L001_R2_001.fastq.gz						
SRR11657920	SRP259389	new	PRJNA629592	SAMN14783854	090413M_3	090413M_3	16S amplicons from concrete sample  090413M_3: ASR unreactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413M_3_S18_L001_R1_001.fastq.gz	090413M_3_S18_L001_R2_001.fastq.gz						
SRR11657919	SRP259389	new	PRJNA629592	SAMN14783855	090413U_17	090413U_17	16S amplicons from concrete sample  090413U_17: ASR reactive and weathered for 4 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			090413U_17_S13_L001_R1_001.fastq.gz	090413U_17_S13_L001_R2_001.fastq.gz						
